No.;Time;;;;;TIME 1;TIME 2;DELAY;;DELAY 1;DELAY 2;VARIASI DELLAY
1;0.000000;;;;;0;0,016018;0,016018;;0,016018;0,001844;-0,014174
2;0.016018;;;;;0,016018;0,017862;0,001844;;0,001844;0,010411;0,008567
3;0.017862;;;;;0,017862;0,028273;0,010411;;0,010411;0,127761;0,11735
4;0.028273;;;;;0,028273;0,156034;0,127761;;0,127761;0,015179;-0,112582
5;0.156034;;;;;0,156034;0,171213;0,015179;;0,015179;0,084813;0,069634
6;0.171213;;;;;0,171213;0,256026;0,084813;;0,084813;0,025019;-0,059794
7;0.256026;;;;;0,256026;0,281045;0,025019;;0,025019;1,165039;1,14002
8;0.281045;;;;;0,281045;1,446084;1,165039;;1,165039;0,013316;-1,151723
9;1.446.084;1,446084;;;;1,446084;1,4594;0,013316;;0,013316;0,497659;0,484343
10;1.459.400;1,4594;;;;1,4594;1,957059;0,497659;;0,497659;0,01419;-0,483469
11;1.957.059;1,957059;;;;1,957059;1,971249;0,01419;;0,01419;0,19585;0,18166
12;1.971.249;1,971249;;;;1,971249;2,167099;0,19585;;0,19585;0,024256;-0,171594
13;2.167.099;2,167099;;;;2,167099;2,191355;0,024256;;0,024256;0,29471;0,270454
14;2.191.355;2,191355;;;;2,191355;2,486065;0,29471;;0,29471;0,024748;-0,269962
15;2.486.065;2,486065;;;;2,486065;2,510813;0,024748;;0,024748;0,255219;0,230471
16;2.510.813;2,510813;;;;2,510813;2,766032;0,255219;;0,255219;8,6E-05;-0,255133
17;2.766.032;2,766032;;;;2,766032;2,766118;8,6E-05;;8,6E-05;0,024538;0,024452
18;2.766.118;2,766118;;;;2,766118;2,790656;0,024538;;0,024538;0,026363;0,001825
22;2.790.656;2,790656;;;;2,790656;2,817019;0,026363;;0,026363;0,110983;0,08462
27;2.817.019;2,817019;;;;2,817019;2,928002;0,110983;;0,110983;0,000113;-0,11087
37;2.928.002;2,928002;;;;2,928002;2,928115;0,000113;;0,000113;4E-05;-7,3E-05
38;2.928.115;2,928115;;;;2,928115;2,928155;4E-05;;4E-05;0,008469;0,008429
39;2.928.155;2,928155;;;;2,928155;2,936624;0,008469;;0,008469;0,022651;0,014182
40;2.936.624;2,936624;;;;2,936624;2,959275;0,022651;;0,022651;0;-0,022651
42;2.959.275;2,959275;;;;2,959275;2,959275;0;;0;0,018662;0,018662
43;2.959.275;2,959275;;;;2,959275;2,977937;0,018662;;0,018662;0,132115;0,113453
45;2.977.937;2,977937;;;;2,977937;3,110052;0,132115;;0,132115;0,023322;-0,108793
46;3.110.052;3,110052;;;;3,110052;3,133374;0,023322;;0,023322;0,025694;0,002372
47;3.133.374;3,133374;;;;3,133374;3,159068;0,025694;;0,025694;0,004528;-0,021166
48;3.159.068;3,159068;;;;3,159068;3,163596;0,004528;;0,004528;0,000686;-0,003842
49;3.163.596;3,163596;;;;3,163596;3,164282;0,000686;;0,000686;6,9E-05;-0,000617
50;3.164.282;3,164282;;;;3,164282;3,164351;6,9E-05;;6,9E-05;0,025349;0,02528
51;3.164.351;3,164351;;;;3,164351;3,1897;0,025349;;0,025349;0,580397;0,555048
52;3.189.700;3,1897;;;;3,1897;3,770097;0,580397;;0,580397;0,026118;-0,554279
54;3.770.097;3,770097;;;;3,770097;3,796215;0,026118;;0,026118;1,122954;1,096836
55;3.796.215;3,796215;;;;3,796215;4,919169;1,122954;;1,122954;0,026427;-1,096527
56;4.919.169;4,919169;;;;4,919169;4,945596;0,026427;;0,026427;1,351553;1,325126
57;4.945.596;4,945596;;;;4,945596;6,297149;1,351553;;1,351553;0,02572;-1,325833
1697;6.297.149;6,297149;;;;6,297149;6,322869;0,02572;;0,02572;0,096292;0,070572
1698;6.322.869;6,322869;;;;6,322869;6,419161;0,096292;;0,096292;0,02364;-0,072652
1699;6.419.161;6,419161;;;;6,419161;6,442801;0,02364;;0,02364;0,536382;0,512742
1700;6.442.801;6,442801;;;;6,442801;6,979183;0,536382;;0,536382;0,001012;-0,53537
1718;6.979.183;6,979183;;;;6,979183;6,980195;0,001012;;0,001012;0,008996;0,007984
1719;6.980.195;6,980195;;;;6,980195;6,989191;0,008996;;0,008996;0;-0,008996
1720;6.989.191;6,989191;;;;6,989191;6,989191;0;;0;0,000989;0,000989
1721;6.989.191;6,989191;;;;6,989191;6,99018;0,000989;;0,000989;0,013167;0,012178
1722;6.990.180;6,99018;;;;6,99018;7,003347;0,013167;;0,013167;0,000129;-0,013038
1723;7.003.347;7,003347;;;;7,003347;7,003476;0,000129;;0,000129;0,009226;0,009097
1724;7.003.476;7,003476;;;;7,003476;7,012702;0,009226;;0,009226;0,000223;-0,009003
1725;7.012.702;7,012702;;;;7,012702;7,012925;0,000223;;0,000223;0;-0,000223
1726;7.012.925;7,012925;;;;7,012925;7,012925;0;;0;0,006266;0,006266
1727;7.012.925;7,012925;;;;7,012925;7,019191;0,006266;;0,006266;0,023995;0,017729
1728;7.019.191;7,019191;;;;7,019191;7,043186;0,023995;;0,023995;0,065994;0,041999
1729;7.043.186;7,043186;;;;7,043186;7,10918;0,065994;;0,065994;0,031006;-0,034988
1769;7.109.180;7,10918;;;;7,10918;7,140186;0,031006;;0,031006;0,196292;0,165286
1772;7.140.186;7,140186;;;;7,140186;7,336478;0,196292;;0,196292;0,03118;-0,165112
1788;7.336.478;7,336478;;;;7,336478;7,367658;0,03118;;0,03118;0,489547;0,458367
1790;7.367.658;7,367658;;;;7,367658;7,857205;0,489547;;0,489547;0,022024;-0,467523
1791;7.857.205;7,857205;;;;7,857205;7,879229;0,022024;;0,022024;0,001664;-0,02036
1792;7.879.229;7,879229;;;;7,879229;7,880893;0,001664;;0,001664;0,022463;0,020799
1793;7.880.893;7,880893;;;;7,880893;7,903356;0,022463;;0,022463;0,165857;0,143394
1794;7.903.356;7,903356;;;;7,903356;8,069213;0,165857;;0,165857;0,023921;-0,141936
1795;8.069.213;8,069213;;;;8,069213;8,093134;0,023921;;0,023921;0,146083;0,122162
1796;8.093.134;8,093134;;;;8,093134;8,239217;0,146083;;0,146083;0,013756;-0,132327
1797;8.239.217;8,239217;;;;8,239217;8,252973;0,013756;;0,013756;0,006252;-0,007504
1798;8.252.973;8,252973;;;;8,252973;8,259225;0,006252;;0,006252;0,012861;0,006609
1799;8.259.225;8,259225;;;;8,259225;8,272086;0,012861;;0,012861;0,267145;0,254284
1800;8.272.086;8,272086;;;;8,272086;8,539231;0,267145;;0,267145;0,05628;-0,210865
1802;8.539.231;8,539231;;;;8,539231;8,595511;0,05628;;0,05628;0,373742;0,317462
1803;8.595.511;8,595511;;;;8,595511;8,969253;0,373742;;0,373742;0,191026;-0,182716
1804;8.969.253;8,969253;;;;8,969253;9,160279;0,191026;;0,191026;0,989843;0,798817
1843;9.160.279;9,160279;;;;9,160279;10,150122;0,989843;;0,989843;0,200178;-0,789665
3069;10.150.122;10,150122;;;;10,150122;10,3503;0,200178;;0,200178;0,129003;-0,071175
3730;10.350.300;10,3503;;;;10,3503;10,479303;0,129003;;0,129003;0,024409;-0,104594
3784;10.479.303;10,479303;;;;10,479303;10,503712;0,024409;;0,024409;1,877686;1,853277
3787;10.503.712;10,503712;;;;10,503712;12,381398;1,877686;;1,877686;0,200006;-1,67768
3828;12.381.398;12,381398;;;;12,381398;12,581404;0,200006;;0,200006;2,506668;2,306662
3829;12.581.404;12,581404;;;;12,581404;15,088072;2,506668;;2,506668;0;-2,506668
4122;15.088.072;15,088072;;;;15,088072;15,088072;0;;0;6,1E-05;6,1E-05
4123;15.088.072;15,088072;;;;15,088072;15,088133;6,1E-05;;6,1E-05;8,7E-05;2,6E-05
4124;15.088.133;15,088133;;;;15,088133;15,08822;8,7E-05;;8,7E-05;0,000122;3,5E-05
4125;15.088.220;15,08822;;;;15,08822;15,088342;0,000122;;0,000122;3,2E-05;-9E-05
4126;15.088.342;15,088342;;;;15,088342;15,088374;3,2E-05;;3,2E-05;0,001846;0,001814
4127;15.088.374;15,088374;;;;15,088374;15,09022;0,001846;;0,001846;0,024781;0,022935
4128;15.090.220;15,09022;;;;15,09022;15,115001;0,024781;;0,024781;0,0339;0,009119
4129;15.115.001;15,115001;;;;15,115001;15,148901;0,0339;;0,0339;0;-0,0339
4130;15.148.901;15,148901;;;;15,148901;15,148901;0;;0;5,8E-05;5,8E-05
4131;15.148.901;15,148901;;;;15,148901;15,148959;5,8E-05;;5,8E-05;0,768566;0,768508
4132;15.148.959;15,148959;;;;15,148959;15,917525;0,768566;;0,768566;0,023393;-0,745173
4134;15.917.525;15,917525;;;;15,917525;15,940918;0,023393;;0,023393;0,11659;0,093197
4135;15.940.918;15,940918;;;;15,940918;16,057508;0,11659;;0,11659;0,023687;-0,092903
4136;16.057.508;16,057508;;;;16,057508;16,081195;0,023687;;0,023687;0,066314;0,042627
4137;16.081.195;16,081195;;;;16,081195;16,147509;0,066314;;0,066314;0,025946;-0,040368
4138;16.147.509;16,147509;;;;16,147509;16,173455;0,025946;;0,025946;0,014059;-0,011887
4139;16.173.455;16,173455;;;;16,173455;16,187514;0,014059;;0,014059;0,014014;-4,5E-05
4140;16.187.514;16,187514;;;;16,187514;16,201528;0,014014;;0,014014;0,035986;0,021972
4141;16.201.528;16,201528;;;;16,201528;16,237514;0,035986;;0,035986;0,024314;-0,011672
4142;16.237.514;16,237514;;;;16,237514;16,261828;0,024314;;0,024314;0,732466;0,708152
4143;16.261.828;16,261828;;;;16,261828;16,994294;0,732466;;0,732466;0;-0,732466
4145;16.994.294;16,994294;;;;16,994294;16,994294;0;;0;7,5E-05;7,5E-05
4146;16.994.294;16,994294;;;;16,994294;16,994369;7,5E-05;;7,5E-05;0,000213;0,000138
4147;16.994.369;16,994369;;;;16,994369;16,994582;0,000213;;0,000213;0,00022;7E-06
4148;16.994.582;16,994582;;;;16,994582;16,994802;0,00022;;0,00022;3,1E-05;-0,000189
4149;16.994.802;16,994802;;;;16,994802;16,994833;3,1E-05;;3,1E-05;0,037405;0,037374
4150;16.994.833;16,994833;;;;16,994833;17,032238;0,037405;;0,037405;0;-0,037405
4151;17.032.238;17,032238;;;;17,032238;17,032238;0;;0;8,1E-05;8,1E-05
4152;17.032.238;17,032238;;;;17,032238;17,032319;8,1E-05;;8,1E-05;0,000175;9,4E-05
4153;17.032.319;17,032319;;;;17,032319;17,032494;0,000175;;0,000175;4,6E-05;-0,000129
4154;17.032.494;17,032494;;;;17,032494;17,03254;4,6E-05;;4,6E-05;2,8E-05;-1,8E-05
4155;17.032.540;17,03254;;;;17,03254;17,032568;2,8E-05;;2,8E-05;0,024683;0,024655
4156;17.032.568;17,032568;;;;17,032568;17,057251;0,024683;;0,024683;0,098971;0,074288
4157;17.057.251;17,057251;;;;17,057251;17,156222;0,098971;;0,098971;0,198393;0,099422
4158;17.156.222;17,156222;;;;17,156222;17,354615;0,198393;;0,198393;0;-0,198393
4159;17.354.615;17,354615;;;;17,354615;17,354615;0;;0;9,2E-05;9,2E-05
4160;17.354.615;17,354615;;;;17,354615;17,354707;9,2E-05;;9,2E-05;0,000221;0,000129
4161;17.354.707;17,354707;;;;17,354707;17,354928;0,000221;;0,000221;5,8E-05;-0,000163
4162;17.354.928;17,354928;;;;17,354928;17,354986;5,8E-05;;5,8E-05;5,4E-05;-4E-06
4163;17.354.986;17,354986;;;;17,354986;17,35504;5,4E-05;;5,4E-05;0,025098;0,025044
4164;17.355.040;17,35504;;;;17,35504;17,380138;0,025098;;0,025098;0,242126;0,217028
4165;17.380.138;17,380138;;;;17,380138;17,622264;0,242126;;0,242126;0;-0,242126
4166;17.622.264;17,622264;;;;17,622264;17,622264;0;;0;0;0
4167;17.622.264;17,622264;;;;17,622264;17,622264;0;;0;0,000129;0,000129
4168;17.622.264;17,622264;;;;17,622264;17,622393;0,000129;;0,000129;0,000297;0,000168
4169;17.622.393;17,622393;;;;17,622393;17,62269;0,000297;;0,000297;0,024964;0,024667
4170;17.622.690;17,62269;;;;17,62269;17,647654;0,024964;;0,024964;0,346978;0,322014
4171;17.647.654;17,647654;;;;17,647654;17,994632;0,346978;;0,346978;0,19213;-0,154848
4172;17.994.632;17,994632;;;;17,994632;18,186762;0,19213;;0,19213;1,583984;1,391854
4173;18.186.762;18,186762;;;;18,186762;19,770746;1,583984;;1,583984;0,000281;-1,583703
4189;19.770.746;19,770746;;;;19,770746;19,771027;0,000281;;0,000281;0,02701;0,026729
4190;19.771.027;19,771027;;;;19,771027;19,798037;0,02701;;0,02701;5,2E-05;-0,026958
4191;19.798.037;19,798037;;;;19,798037;19,798089;5,2E-05;;5,2E-05;2,019835;2,019783
4192;19.798.089;19,798089;;;;19,798089;21,817924;2,019835;;2,019835;0,199847;-1,819988
5100;21.817.924;21,817924;;;;21,817924;22,017771;0,199847;;0,199847;1,680106;1,480259
5101;22.017.771;22,017771;;;;22,017771;23,697877;1,680106;;1,680106;0,196805;-1,483301
5433;23.697.877;23,697877;;;;23,697877;23,894682;0,196805;;0,196805;1,363184;1,166379
5435;23.894.682;23,894682;;;;23,894682;25,257866;1,363184;;1,363184;0,024388;-1,338796
5474;25.257.866;25,257866;;;;25,257866;25,282254;0,024388;;0,024388;0,054922;0,030534
5475;25.282.254;25,282254;;;;25,282254;25,337176;0,054922;;0,054922;0,000311;-0,054611
5476;25.337.176;25,337176;;;;25,337176;25,337487;0,000311;;0,000311;0,000396;8,5E-05
5477;25.337.487;25,337487;;;;25,337487;25,337883;0,000396;;0,000396;0,013537;0,013141
5478;25.337.883;25,337883;;;;25,337883;25,35142;0,013537;;0,013537;0,011474;-0,002063
5479;25.351.420;25,35142;;;;25,35142;25,362894;0,011474;;0,011474;6,6E-05;-0,011408
5480;25.362.894;25,362894;;;;25,362894;25,36296;6,6E-05;;6,6E-05;2,535514;2,535448
5481;25.362.960;25,36296;;;;25,36296;27,898474;2,535514;;2,535514;0,013202;-2,522312
5484;27.898.474;27,898474;;;;27,898474;27,911676;0,013202;;0,013202;0,239224;0,226022
5485;27.911.676;27,911676;;;;27,911676;28,1509;0,239224;;0,239224;0,207116;-0,032108
5487;28.150.900;28,1509;;;;28,1509;28,358016;0,207116;;0,207116;1,330002;1,122886
5512;28.358.016;28,358016;;;;28,358016;29,688018;1,330002;;1,330002;0,025025;-1,304977
6788;29.688.018;29,688018;;;;29,688018;29,713043;0,025025;;0,025025;1,97112;1,946095
6789;29.713.043;29,713043;;;;29,713043;31,684163;1,97112;;1,97112;0,023973;-1,947147
6797;31.684.163;31,684163;;;;31,684163;31,708136;0,023973;;0,023973;0,130053;0,10608
6798;31.708.136;31,708136;;;;31,708136;31,838189;0,130053;;0,130053;0,024062;-0,105991
6799;31.838.189;31,838189;;;;31,838189;31,862251;0,024062;;0,024062;0,145961;0,121899
6800;31.862.251;31,862251;;;;31,862251;32,008212;0,145961;;0,145961;0,024603;-0,121358
6801;32.008.212;32,008212;;;;32,008212;32,032815;0,024603;;0,024603;1,691487;1,666884
6802;32.032.815;32,032815;;;;32,032815;33,724302;1,691487;;1,691487;0,02517;-1,666317
7262;33.724.302;33,724302;;;;33,724302;33,749472;0,02517;;0,02517;8,639125;8,613955
7263;33.749.472;33,749472;;;;33,749472;42,388597;8,639125;;8,639125;0,023127;-8,615998
7294;42.388.597;42,388597;;;;42,388597;42,411724;0,023127;;0,023127;2,597949;2,574822
7295;42.411.724;42,411724;;;;42,411724;45,009673;2,597949;;2,597949;0,009023;-2,588926
7299;45.009.673;45,009673;;;;45,009673;45,018696;0,009023;;0,009023;0,00472;-0,004303
7300;45.018.696;45,018696;;;;45,018696;45,023416;0,00472;;0,00472;0,00777;0,00305
7301;45.023.416;45,023416;;;;45,023416;45,031186;0,00777;;0,00777;0,137515;0,129745
7302;45.031.186;45,031186;;;;45,031186;45,168701;0,137515;;0,137515;0,013389;-0,124126
7303;45.168.701;45,168701;;;;45,168701;45,18209;0,013389;;0,013389;1,276677;1,263288
7304;45.182.090;45,18209;;;;45,18209;46,458767;1,276677;;1,276677;0,022223;-1,254454
8622;46.458.767;46,458767;;;;46,458767;46,48099;0,022223;;0,022223;0,493763;0,47154
8623;46.480.990;46,48099;;;;46,48099;46,974753;0,493763;;0,493763;0,013345;-0,480418
8624;46.974.753;46,974753;;;;46,974753;46,988098;0,013345;;0,013345;0,940697;0,927352
8627;46.988.098;46,988098;;;;46,988098;47,928795;0,940697;;0,940697;0,171345;-0,769352
9085;47.928.795;47,928795;;;;47,928795;48,10014;0,171345;;0,171345;0,029662;-0,141683
9086;48.100.140;48,10014;;;;48,10014;48,129802;0,029662;;0,029662;0,024233;-0,005429
9087;48.129.802;48,129802;;;;48,129802;48,154035;0,024233;;0,024233;0,03476;0,010527
9088;48.154.035;48,154035;;;;48,154035;48,188795;0,03476;;0,03476;0,030284;-0,004476
9089;48.188.795;48,188795;;;;48,188795;48,219079;0,030284;;0,030284;0,570735;0,540451
9090;48.219.079;48,219079;;;;48,219079;48,789814;0,570735;;0,570735;0,02591;-0,544825
9091;48.789.814;48,789814;;;;48,789814;48,815724;0,02591;;0,02591;0,657452;0,631542
9093;48.815.724;48,815724;;;;48,815724;49,473176;0,657452;;0,657452;0,199753;-0,457699
9095;49.473.176;49,473176;;;;49,473176;49,672929;0,199753;;0,199753;0,467718;0,267965
9096;49.672.929;49,672929;;;;49,672929;50,140647;0,467718;;0,467718;0,202313;-0,265405
9098;50.140.647;50,140647;;;;50,140647;50,34296;0,202313;;0,202313;0,981983;0,77967
9100;50.342.960;50,34296;;;;50,34296;51,324943;0,981983;;0,981983;0,026056;-0,955927
9101;51.324.943;51,324943;;;;51,324943;51,350999;0,026056;;0,026056;0,091959;0,065903
9102;51.350.999;51,350999;;;;51,350999;51,442958;0,091959;;0,091959;0,023213;-0,068746
9103;51.442.958;51,442958;;;;51,442958;51,466171;0,023213;;0,023213;0,054187;0,030974
9104;51.466.171;51,466171;;;;51,466171;51,520358;0,054187;;0,054187;0,19956;0,145373
9105;51.520.358;51,520358;;;;51,520358;51,719918;0,19956;;0,19956;0,280009;0,080449
9106;51.719.918;51,719918;;;;51,719918;51,999927;0,280009;;0,280009;0;-0,280009
9107;51.999.927;51,999927;;;;51,999927;51,999927;0;;0;0,009942;0,009942
9108;51.999.927;51,999927;;;;51,999927;52,009869;0,009942;;0,009942;0;-0,009942
9109;52.009.869;52,009869;;;;52,009869;52,009869;0;;0;0;0
9110;52.009.869;52,009869;;;;52,009869;52,009869;0;;0;0,013802;0,013802
9111;52.009.869;52,009869;;;;52,009869;52,023671;0,013802;;0,013802;0,000179;-0,013623
9112;52.023.671;52,023671;;;;52,023671;52,02385;0,000179;;0,000179;0,010663;0,010484
9113;52.023.850;52,02385;;;;52,02385;52,034513;0,010663;;0,010663;0;-0,010663
9114;52.034.513;52,034513;;;;52,034513;52,034513;0;;0;0;0
9115;52.034.513;52,034513;;;;52,034513;52,034513;0;;0;0,005383;0,005383
9116;52.034.513;52,034513;;;;52,034513;52,039896;0,005383;;0,005383;0,024283;0,0189
9117;52.039.896;52,039896;;;;52,039896;52,064179;0,024283;;0,024283;0,265809;0,241526
9118;52.064.179;52,064179;;;;52,064179;52,329988;0,265809;;0,265809;0,029977;-0,235832
9119;52.329.988;52,329988;;;;52,329988;52,359965;0,029977;;0,029977;0,197671;0,167694
9120;52.359.965;52,359965;;;;52,359965;52,557636;0,197671;;0,197671;0,029923;-0,167748
9121;52.557.636;52,557636;;;;52,557636;52,587559;0,029923;;0,029923;0,297421;0,267498
9122;52.587.559;52,587559;;;;52,587559;52,88498;0,297421;;0,297421;0,014989;-0,282432
9123;52.884.980;52,88498;;;;52,88498;52,899969;0,014989;;0,014989;0,0117;-0,003289
9124;52.899.969;52,899969;;;;52,899969;52,911669;0,0117;;0,0117;0,017517;0,005817
9125;52.911.669;52,911669;;;;52,911669;52,929186;0,017517;;0,017517;0,160827;0,14331
9126;52.929.186;52,929186;;;;52,929186;53,090013;0,160827;;0,160827;0,025832;-0,134995
9128;53.090.013;53,090013;;;;53,090013;53,115845;0,025832;;0,025832;0,134161;0,108329
9129;53.115.845;53,115845;;;;53,115845;53,250006;0,134161;;0,134161;0,014093;-0,120068
9131;53.250.006;53,250006;;;;53,250006;53,264099;0,014093;;0,014093;0,005887;-0,008206
9132;53.264.099;53,264099;;;;53,264099;53,269986;0,005887;;0,005887;0,012882;0,006995
9133;53.269.986;53,269986;;;;53,269986;53,282868;0,012882;;0,012882;0,307108;0,294226
9134;53.282.868;53,282868;;;;53,282868;53,589976;0,307108;;0,307108;0,056858;-0,25025
9135;53.589.976;53,589976;;;;53,589976;53,646834;0,056858;;0,056858;0,513229;0,456371
9136;53.646.834;53,646834;;;;53,646834;54,160063;0,513229;;0,513229;0,188801;-0,324428
9137;54.160.063;54,160063;;;;54,160063;54,348864;0,188801;;0,188801;5,349749;5,160948
9138;54.348.864;54,348864;;;;54,348864;59,698613;5,349749;;5,349749;0,127217;-5,222532
9159;59.698.613;59,698613;;;;59,698613;59,82583;0,127217;;0,127217;9,5E-05;-0,127122
9160;59.825.830;59,82583;;;;59,82583;59,825925;9,5E-05;;9,5E-05;0,324295;0,3242
9161;59.825.925;59,825925;;;;59,825925;60,15022;0,324295;;0,324295;0,024436;-0,299859
9162;60.150.220;60,15022;;;;60,15022;60,174656;0,024436;;0,024436;0,770616;0,74618
9163;60.174.656;60,174656;;;;60,174656;60,945272;0,770616;;0,770616;0,023888;-0,746728
9164;60.945.272;60,945272;;;;60,945272;60,96916;0,023888;;0,023888;0,116076;0,092188
9165;60.969.160;60,96916;;;;60,96916;61,085236;0,116076;;0,116076;0,02329;-0,092786
9166;61.085.236;61,085236;;;;61,085236;61,108526;0,02329;;0,02329;0,066781;0,043491
9167;61.108.526;61,108526;;;;61,108526;61,175307;0,066781;;0,066781;0,024281;-0,0425
9168;61.175.307;61,175307;;;;61,175307;61,199588;0,024281;;0,024281;0,005704;-0,018577
9169;61.199.588;61,199588;;;;61,199588;61,205292;0,005704;;0,005704;0,017933;0,012229
9170;61.205.292;61,205292;;;;61,205292;61,223225;0,017933;;0,017933;0,042061;0,024128
9171;61.223.225;61,223225;;;;61,223225;61,265286;0,042061;;0,042061;0,025342;-0,016719
9172;61.265.286;61,265286;;;;61,265286;61,290628;0,025342;;0,025342;0,759321;0,733979
9173;61.290.628;61,290628;;;;61,290628;62,049949;0,759321;;0,759321;0;-0,759321
10405;62.049.949;62,049949;;;;62,049949;62,049949;0;;0;0;0
10406;62.049.949;62,049949;;;;62,049949;62,049949;0;;0;0,000109;0,000109
10407;62.049.949;62,049949;;;;62,049949;62,050058;0,000109;;0,000109;0,000409;0,0003
10408;62.050.058;62,050058;;;;62,050058;62,050467;0,000409;;0,000409;0,171506;0,171097
10409;62.050.467;62,050467;;;;62,050467;62,221973;0,171506;;0,171506;0,140757;-0,030749
